route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
00005,RD,00005_B_RD_2303,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_2216,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_1954,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_1244,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_0710,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_1326,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_1635,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_1608,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_A_RD_2137,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,N,00005_B_N_2250,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_B_N_1602,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_1344,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,N,00005_B_N_0706,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_B_N_2002,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_1546,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_1434,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_0735,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_1309,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_0450,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_2202,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_1749,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_0615,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_1218,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_1630,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_1055,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_1550,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_0800,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_1723,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_0646,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_2106,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,RD,00005_A_RD_0740,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,N,00005_A_N_1114,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,N,00005_B_N_1002,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_B_N_0549,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_1842,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_1730,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,N,00005_A_N_1149,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,S,00005_B_S_1722,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_0626,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
00005,RD,00005_B_RD_0505,Kalemegdan /Donji grad/,,1,,00005_direction_B_osnovna_linija_B,0
00005,S,00005_A_S_2202,Ustanička,,0,,00005_direction_A_osnovna_linija_A,0
